Obersparte,Untersparte,Sparten-Nr
Zeitschriften,Reise-Zeitschriften,776
Zeitschriften,Satire-Zeitschriften,1250
Zeitschriften,Sport-Zeitschriften,694
Zeitschriften,Wissenschaft/Technik,863
Zeitschriften,Wochenmagazine,1252
Zeitschriften,Sonstiges - Zeitschriften,547
Wertvolles/Raritäten,vor 1500,1845
Wertvolles/Raritäten,16. Jhdt.,1846
Wertvolles/Raritäten,17. Jhdt.,1847
Wertvolles/Raritäten,18. Jhdt,1848
Wertvolles/Raritäten,19. Jhdt.,1849
Wertvolles/Raritäten,Alte Drucke,801
Wertvolles/Raritäten,Autographen,1291
Wertvolles/Raritäten,Erstausgaben,805
Wertvolles/Raritäten,Insel-Bücherei,1357
Wertvolles/Raritäten,Manuskripte,1854
Wertvolles/Raritäten,Raritäten,706
Wertvolles/Raritäten,rororo Leinenrücken,1850
Wertvolles/Raritäten,Sonderausgaben,705
Wertvolles/Raritäten,Signierte Exemplare,717
Wertvolles/Raritäten,Stiche/Kupferstiche,1853
Wertvolles/Raritäten,Sonstiges - Wertvolles/Raritäten,800
Hörbücher (CD/MC/LP),Comedy/Kabarett (Audio),849
Hörbücher (CD/MC/LP),Fantasy (Hörbuch),755
Hörbücher (CD/MC/LP),Gelesene Gedichte,869
Hörbücher (CD/MC/LP),Gespräche/Lesungen,870
Hörbücher (CD/MC/LP),Biographien/Briefe (Audio),871
Hörbücher (CD/MC/LP),Jugend-Hörspiele,753
Hörbücher (CD/MC/LP),Kinder-Hörspiele,752
Hörbücher (CD/MC/LP),Krimi (Hörbuch),754
Hörbücher (CD/MC/LP),Roman (Hörbuch),850
Hörbücher (CD/MC/LP),Sachtitel (Hörbuch),851
Hörbücher (CD/MC/LP),Science Fiction (Hörbuch),872
Hörbücher (CD/MC/LP),Sonstiges - Hörbücher,756
Sonstiges,Ansichtskarten,1363
Sonstiges,Almanach,1362
Sonstiges,Buchpakete/Sammlungen,838
Sonstiges,Erotika,830
Sonstiges,Faksimiles,845
Sonstiges,Großdruck,837
Sonstiges,Kalender,1359
Sonstiges,Karikaturen/Cartoons,1355
Sonstiges,Kataloge,1361
Sonstiges,Mundart,1812
Sonstiges,Sach/Fachbücher,703
Sonstiges,Unterhaltung,704
Sonstiges,Witze/Anekdoten,1360
Sonstiges,Zitate/Aphorismen,1813
Sonstiges,Sonstiges,655
